Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
5184,6136.308000000001,78819.70,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),S3 Bucket,S3 Standard,0,1538.16,18457.92,USD,,S3 Standard storage (30 TB per month)
My Estimate,US East (N. Virginia),S3 Bucket,Data Transfer,0,0,0.00,USD,,"DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (50 GB per month)"
My Estimate,US East (N. Virginia),VPC,Network Address Translation (NAT) Gateway,0,618.66,7423.92,USD,,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,485.2,5822.40,USD,,"Data transfer out to internet (5 TB per month), Data transfer out to origin (0 GB per month), Number of requests (HTTPS) (50000000 per month)"
My Estimate,US East (N. Virginia),Web ALB,Application Load Balancer,0,717.2299999999999,8606.76,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),App ALB,Application Load Balancer,0,571.2299999999999,6854.76,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Web Server,Amazon EC2 ,0,411.72,4940.64,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m5.xlarge), Pricing strategy ( 1 Year  None upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),App Server,Amazon EC2 ,0,607.068,7284.82,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (c7g.2xlarge), Pricing strategy ( 1 Year  None upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Master DB,Amazon RDS for MySQL,2592,707.8299999999999,11085.96,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (1), Instance type (db.m4.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr Partial Upfront), Additional backup storage (0 GB)"
My Estimate,US East (N. Virginia),Read Replica,Amazon RDS for MySQL,2592,479.21,8342.52,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (1), Instance type (db.m4.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr Partial Upfront)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
